participant,composite,n_features,n_obs,pearson_r,p_value,p_value_fdr
1,emotion,9,6,0.7008,0.12088,0.901193
1,eye_tracking,12,6,0.0235,0.964779,0.964779
1,ecg,4,6,0.1851,0.725476,0.930281
2,emotion,9,6,-0.0879,0.868446,0.930281
2,eye_tracking,12,6,0.6081,0.200265,0.901193
2,ecg,4,6,0.0811,0.878599,0.930281
3,emotion,9,6,0.15,0.776745,0.930281
3,eye_tracking,12,6,-0.2864,0.582179,0.930281
3,ecg,4,6,0.3868,0.448738,0.930281
4,emotion,9,6,0.7158,0.109676,0.901193
4,eye_tracking,12,6,0.2817,0.588672,0.930281
4,ecg,4,6,0.2514,0.630781,0.930281
5,emotion,9,6,0.612,0.196642,0.901193
5,eye_tracking,12,6,-0.1249,0.813678,0.930281
5,ecg,4,6,0.1668,0.752166,0.930281
6,emotion,9,6,0.1082,0.838305,0.930281
6,eye_tracking,12,6,0.3365,0.514322,0.930281
6,ecg,4,6,-0.4898,0.324102,0.930281
