participant,feature,n_obs,pearson_r,ci_95_low,ci_95_high,p_value_raw,p_value_fdr
1,Happy,6,,,,,
1,Surprise,6,-0.0032,-0.9855,0.9996,0.995244,0.995244
1,Fear,6,0.623,0.5131,0.9847,0.186411,0.832743
1,Sad,6,0.4567,-0.6736,0.9533,0.362629,0.832743
1,Disgust,6,-0.1871,-0.9999,0.192,0.722679,0.903349
1,Anger,6,-0.2697,-0.7071,-0.2,0.605287,0.864447
1,Neutral,6,-0.3912,-0.9514,0.9517,0.443136,0.832743
1,positive,6,-0.0032,-0.9855,0.9996,0.995244,0.995244
1,negative,6,0.2574,-0.9858,0.9561,0.622402,0.864447
1,non_neutral,6,0.3912,-0.9517,0.9514,0.443136,0.832743
1,blinks_short,6,-0.6392,-0.9978,-0.3817,0.171824,0.832743
1,blinks_medium,6,0.156,-0.5029,0.953,0.76795,0.914226
1,blinks_long,6,0.2604,-0.6082,0.923,0.618225,0.864447
1,fixations_short_low_dispersion,6,0.5236,0.1784,0.9999,0.286398,0.832743
1,fixations_short_high_dispersion,6,-0.5087,-0.9889,0.502,0.302747,0.832743
1,fixations_medium_low_dispersion,6,-0.1884,-0.9858,0.6573,0.720811,0.903349
1,fixations_medium_high_dispersion,6,-0.6576,-0.9984,0.2084,0.15575,0.832743
1,fixations_long_low_dispersion,6,0.7534,0.0108,0.9954,0.083749,0.832743
1,fixations_long_high_dispersion,6,0.1079,-0.9821,0.7107,0.838737,0.953111
1,pupil_diameter_small,6,0.5804,-0.9854,0.9835,0.227168,0.832743
1,pupil_diameter_medium,6,0.5724,0.3017,0.984,0.235214,0.832743
1,pupil_diameter_large,6,-0.9335,-0.9987,-0.1855,0.006491,0.16227
1,diff_ecg_heart_rate,6,-0.3731,-0.9381,0.8353,0.466336,0.832743
1,diff_ecg_sdnn,6,0.0397,-0.6253,0.9289,0.94051,0.995244
1,diff_ecg_rmssd,6,0.2633,-0.6195,0.8987,0.61422,0.864447
1,diff_ecg_pnn50,6,0.4528,0.2658,0.8811,0.367199,0.832743
2,Happy,6,,,,,
2,Surprise,6,-0.2937,-0.9692,0.7528,0.572118,0.762824
2,Fear,6,0.0962,-0.7071,0.9333,0.856079,0.906103
2,Sad,6,0.5855,0.3162,0.9806,0.222068,0.596762
2,Disgust,6,-0.3244,-0.9993,0.0895,0.530435,0.762824
2,Anger,6,,,,,
2,Neutral,6,0.3095,-0.7708,0.9101,0.550514,0.762824
2,positive,6,-0.2937,-0.9692,0.7528,0.572118,0.762824
2,negative,6,-0.075,-0.988,0.9283,0.887774,0.906103
2,non_neutral,6,-0.3095,-0.9101,0.7708,0.550514,0.762824
2,blinks_short,6,0.6426,-0.44,0.9858,0.168791,0.596762
2,blinks_medium,6,-0.666,-0.9858,0.3528,0.148676,0.596762
2,blinks_long,6,0.7777,0.6712,1.0,0.068606,0.596762
2,fixations_short_low_dispersion,6,-0.6495,-0.9967,0.3542,0.162721,0.596762
2,fixations_short_high_dispersion,6,0.1065,-0.7309,0.9536,0.840836,0.906103
2,fixations_medium_low_dispersion,6,0.3098,-0.9592,0.9779,0.550101,0.762824
2,fixations_medium_high_dispersion,6,-0.5239,-0.9995,0.6414,0.286012,0.686429
2,fixations_long_low_dispersion,6,0.1641,-0.9929,0.9061,0.756022,0.906103
2,fixations_long_high_dispersion,6,0.0627,-0.8292,0.9192,0.906103,0.906103
2,pupil_diameter_small,6,0.6085,-0.1831,1.0,0.199888,0.596762
2,pupil_diameter_medium,6,-0.7903,-1.0,-0.6476,0.061349,0.596762
2,pupil_diameter_large,6,0.5838,-0.8728,0.9946,0.223786,0.596762
2,diff_ecg_heart_rate,6,-0.6302,-0.9892,0.3291,0.179837,0.596762
2,diff_ecg_sdnn,6,0.3345,-0.8315,0.9959,0.516909,0.762824
2,diff_ecg_rmssd,6,0.4133,-0.7687,0.982,0.415348,0.762824
2,diff_ecg_pnn50,6,0.0797,-0.9713,0.9965,0.88077,0.906103
3,Happy,6,0.7906,0.6742,1.0,0.061199,0.977836
3,Surprise,6,0.1864,-0.6845,0.9939,0.723687,0.977836
3,Fear,6,-0.5133,-1.0,0.5906,0.297678,0.977836
3,Sad,6,0.3543,-0.8041,0.9559,0.490796,0.977836
3,Disgust,6,0.0052,-0.8627,0.9159,0.992131,0.992131
3,Anger,6,,,,,
3,Neutral,6,0.2533,-0.9845,0.9984,0.628214,0.977836
3,positive,6,0.1967,-0.6797,0.993,0.70874,0.977836
3,negative,6,-0.363,-0.9975,0.8998,0.47936,0.977836
3,non_neutral,6,-0.2533,-0.9984,0.9845,0.628214,0.977836
3,blinks_short,6,0.3458,-0.85,0.9867,0.501948,0.977836
3,blinks_medium,6,0.4855,-0.9788,0.9948,0.328941,0.977836
3,blinks_long,6,-0.5327,-0.9766,0.6324,0.276489,0.977836
