feature,missing_before,missing_after,imputed
Happy,0,0,0
Surprise,0,0,0
Fear,0,0,0
Sad,0,0,0
Disgust,0,0,0
Anger,0,0,0
Neutral,0,0,0
positive,0,0,0
negative,0,0,0
non_neutral,0,0,0
blinks_short,2,0,2
blinks_medium,2,0,2
blinks_long,2,0,2
fixations_short_low_dispersion,0,0,0
fixations_short_high_dispersion,0,0,0
fixations_medium_low_dispersion,0,0,0
fixations_medium_high_dispersion,0,0,0
fixations_long_low_dispersion,0,0,0
fixations_long_high_dispersion,0,0,0
pupil_diameter_small,0,0,0
pupil_diameter_medium,0,0,0
pupil_diameter_large,0,0,0
diff_ecg_heart_rate,0,0,0
diff_ecg_sdnn,0,0,0
diff_ecg_rmssd,0,0,0
diff_ecg_pnn50,0,0,0
