feature,total_observations,missing_count,missing_rate_pct
blinks_medium,36,2,5.56
blinks_short,36,2,5.56
blinks_long,36,2,5.56
Fear,36,0,0.0
Disgust,36,0,0.0
Anger,36,0,0.0
Neutral,36,0,0.0
Sad,36,0,0.0
Happy,36,0,0.0
Surprise,36,0,0.0
non_neutral,36,0,0.0
negative,36,0,0.0
positive,36,0,0.0
fixations_short_low_dispersion,36,0,0.0
fixations_short_high_dispersion,36,0,0.0
fixations_medium_low_dispersion,36,0,0.0
fixations_medium_high_dispersion,36,0,0.0
fixations_long_low_dispersion,36,0,0.0
fixations_long_high_dispersion,36,0,0.0
pupil_diameter_small,36,0,0.0
pupil_diameter_medium,36,0,0.0
pupil_diameter_large,36,0,0.0
diff_ecg_heart_rate,36,0,0.0
diff_ecg_sdnn,36,0,0.0
diff_ecg_rmssd,36,0,0.0
diff_ecg_pnn50,36,0,0.0
