feature,n_obs,n_participants,coef,ci_low,ci_high,p_value,p_value_fdr
Happy,36,6,1.298736,-4.059124,6.656596,0.634722,0.849892
Surprise,36,6,0.003446,-0.023228,0.03012,0.800117,0.90448
Fear,36,6,0.019887,-0.007922,0.047697,0.161029,0.820647
Sad,36,6,0.05608,-0.030666,0.142826,0.205125,0.820647
Disgust,36,6,-0.010466,-0.0562,0.035267,0.653763,0.849892
Anger,36,6,-1.938905,-7.270949,3.393139,0.476027,0.820647
Neutral,36,6,-0.00706,-0.024684,0.010564,0.432383,0.820647
positive,36,6,0.003486,-0.023222,0.030195,0.798071,0.90448
negative,36,6,0.010788,-0.013283,0.034859,0.379709,0.820647
non_neutral,36,6,0.00706,-0.010564,0.024684,0.432383,0.820647
blinks_short,36,6,-0.009065,-0.039163,0.021034,0.555004,0.820647
blinks_medium,36,6,0.00196,-0.023779,0.027698,0.881362,0.937263
blinks_long,36,6,0.003829,-0.020286,0.027944,0.755627,0.90448
fixations_short_low_dispersion,36,6,0.115176,-0.018734,0.249085,0.09184,0.820647
fixations_short_high_dispersion,36,6,0.01803,-0.018784,0.054844,0.337094,0.820647
fixations_medium_low_dispersion,36,6,0.164536,-0.388812,0.717884,0.560036,0.820647
fixations_medium_high_dispersion,36,6,-0.062388,-0.150987,0.02621,0.167541,0.820647
fixations_long_low_dispersion,36,6,-0.003005,-0.077828,0.071818,0.937263,0.937263
fixations_long_high_dispersion,36,6,-0.0237,-0.068578,0.021177,0.300637,0.820647
pupil_diameter_small,36,6,0.022441,-0.00662,0.051503,0.130155,0.820647
pupil_diameter_medium,36,6,-0.020313,-0.047995,0.007369,0.150373,0.820647
pupil_diameter_large,36,6,0.001593,-0.03802,0.041206,0.937174,0.937263
diff_ecg_heart_rate,36,6,-0.053854,-0.212591,0.104884,0.506088,0.820647
diff_ecg_sdnn,36,6,-0.01203,-0.053339,0.029279,0.56814,0.820647
diff_ecg_rmssd,36,6,-0.085556,-0.229472,0.05836,0.24395,0.820647
diff_ecg_pnn50,36,6,-0.050705,-0.165806,0.064395,0.387906,0.820647
