feature_A,feature_B,n_obs,combined_r,combined_p,combined_p_fdr
Fear,negative,36,0.3405,0.042167,0.225145
Fear,fixations_short_low_dispersion,36,0.4034,0.014691,0.225145
Fear,Neutral,36,0.0855,0.620101,0.85673
Fear,non_neutral,36,0.3396,0.042743,0.225145
Fear,pupil_diameter_medium,36,0.099,0.565631,0.85673
Fear,diff_ecg_rmssd,36,0.1087,0.528142,0.85673
Fear,Sad,36,0.3585,0.031807,0.225145
Fear,diff_ecg_heart_rate,36,0.1469,0.392632,0.803111
Fear,fixations_medium_high_dispersion,36,0.1256,0.465376,0.85673
negative,fixations_short_low_dispersion,36,0.3888,0.019087,0.225145
negative,Neutral,36,0.0657,0.703393,0.85673
negative,non_neutral,36,0.3132,0.062926,0.225145
negative,pupil_diameter_medium,36,0.082,0.634282,0.85673
negative,diff_ecg_rmssd,36,0.0891,0.605215,0.85673
negative,Sad,36,0.3108,0.065042,0.225145
negative,diff_ecg_heart_rate,36,0.1221,0.478243,0.85673
negative,fixations_medium_high_dispersion,36,0.1028,0.550639,0.85673
fixations_short_low_dispersion,Neutral,36,0.0051,0.976272,0.995412
fixations_short_low_dispersion,non_neutral,36,0.3622,0.029948,0.225145
fixations_short_low_dispersion,pupil_diameter_medium,36,0.0466,0.787205,0.885606
fixations_short_low_dispersion,diff_ecg_rmssd,36,0.0611,0.723461,0.85673
fixations_short_low_dispersion,Sad,36,0.3252,0.052931,0.225145
fixations_short_low_dispersion,diff_ecg_heart_rate,36,0.0785,0.649171,0.85673
fixations_short_low_dispersion,fixations_medium_high_dispersion,36,0.0897,0.6029,0.85673
Neutral,non_neutral,36,0.1801,0.293258,0.62841
Neutral,pupil_diameter_medium,36,-0.32,0.057091,0.225145
Neutral,diff_ecg_rmssd,36,-0.3237,0.054123,0.225145
Neutral,Sad,36,-0.0826,0.632073,0.85673
Neutral,diff_ecg_heart_rate,36,-0.3026,0.072835,0.234112
Neutral,fixations_medium_high_dispersion,36,-0.3695,0.026542,0.225145
non_neutral,pupil_diameter_medium,36,0.0514,0.766027,0.883877
non_neutral,diff_ecg_rmssd,36,0.0619,0.719703,0.85673
non_neutral,Sad,36,0.2769,0.102104,0.287167
non_neutral,diff_ecg_heart_rate,36,0.0825,0.632584,0.85673
non_neutral,fixations_medium_high_dispersion,36,0.0733,0.671059,0.85673
pupil_diameter_medium,diff_ecg_rmssd,36,-0.2641,0.119614,0.30721
pupil_diameter_medium,Sad,36,-0.0149,0.931313,0.97463
pupil_diameter_medium,diff_ecg_heart_rate,36,-0.2619,0.122884,0.30721
pupil_diameter_medium,fixations_medium_high_dispersion,36,-0.2879,0.088622,0.265866
diff_ecg_rmssd,Sad,36,-0.001,0.995412,0.995412
diff_ecg_rmssd,diff_ecg_heart_rate,36,-0.2504,0.140742,0.333336
diff_ecg_rmssd,fixations_medium_high_dispersion,36,-0.312,0.06394,0.225145
Sad,diff_ecg_heart_rate,36,0.0172,0.920726,0.97463
Sad,fixations_medium_high_dispersion,36,0.0193,0.910917,0.97463
diff_ecg_heart_rate,fixations_medium_high_dispersion,36,-0.2185,0.200539,0.451213
