feature_A,feature_B,n_obs,coef_A,p_A,coef_B,p_B,coef_interaction,p_interaction,p_interaction_fdr
Anger,diff_ecg_rmssd,36,1.098948,,-0.086966,0.234711,28.710704,,1.0
Happy,fixations_medium_low_dispersion,36,2.959596,0.277234,0.27377,0.316764,-24.979323,0.09805,0.539275
Happy,fixations_short_low_dispersion,36,1.298708,0.908858,0.113146,0.096916,0.226682,0.981808,1.0
Happy,diff_ecg_rmssd,36,1.473822,0.617832,-0.085723,0.237923,3.603509,0.918039,1.0
Happy,fixations_medium_high_dispersion,36,6.089262,0.434089,-0.059529,0.181928,-1.731413,0.524274,0.885572
Happy,Sad,36,-2.228687,0.700325,0.050076,0.258823,-1.515638,0.525216,0.885572
Happy,diff_ecg_heart_rate,36,3.676501,0.511683,-0.055453,0.490345,1.650548,0.61794,0.885572
fixations_medium_low_dispersion,fixations_short_low_dispersion,36,0.173459,0.537726,0.115336,0.090003,0.019115,0.684306,0.885572
fixations_medium_low_dispersion,diff_ecg_rmssd,36,0.006699,0.978193,-0.202396,0.006032,0.625226,0.001211,0.026642
fixations_medium_low_dispersion,fixations_medium_high_dispersion,36,0.467692,0.183254,-0.030865,0.516685,-0.08593,0.13138,0.578072
fixations_medium_low_dispersion,Sad,36,0.200151,0.469536,0.054548,0.4067,-0.010776,0.931325,1.0
fixations_medium_low_dispersion,diff_ecg_heart_rate,36,-0.00792,0.978867,0.001814,0.983239,0.107538,0.085045,0.539275
fixations_short_low_dispersion,diff_ecg_rmssd,36,0.075394,0.306972,-0.048764,0.527385,-0.097584,0.177806,0.651955
fixations_short_low_dispersion,fixations_medium_high_dispersion,36,0.051438,0.645173,-0.060832,0.160405,0.013686,0.48887,0.885572
fixations_short_low_dispersion,Sad,36,0.108623,0.107385,0.065333,0.181316,-0.018664,0.442593,0.885572
fixations_short_low_dispersion,diff_ecg_heart_rate,36,0.130478,0.060702,-0.072008,0.361191,-0.013147,0.651167,0.885572
diff_ecg_rmssd,fixations_medium_high_dispersion,36,-0.146167,0.051085,-0.096385,0.036083,-0.016558,0.395876,0.885572
diff_ecg_rmssd,Sad,36,-0.091311,0.216409,0.078931,0.218697,0.047732,0.604611,0.885572
diff_ecg_rmssd,diff_ecg_heart_rate,36,0.114895,0.240724,-0.10045,0.173483,-0.133126,0.006495,0.071445
fixations_medium_high_dispersion,Sad,36,-0.107082,0.023684,0.088795,0.098993,0.001475,0.781424,0.955074
fixations_medium_high_dispersion,diff_ecg_heart_rate,36,-0.048945,0.2939,-0.10512,0.345252,0.016447,0.361414,0.885572
Sad,diff_ecg_heart_rate,36,0.07378,0.182153,-0.052734,0.515757,-0.007474,0.643509,0.885572
