participant,feature,n_obs,pearson_r,ci_95_low,ci_95_high,p_value_raw,p_value_fdr
4,Happy,6,-0.6102,-0.9944,-0.5215,0.19833,0.919759
4,Surprise,6,0.7599,-0.1567,0.9995,0.079557,0.667249
4,Fear,6,-0.244,-0.9638,0.5919,0.641256,0.919759
4,Sad,6,-0.134,-0.9429,0.8284,0.800211,0.952632
4,Disgust,6,0.5685,0.0545,0.9953,0.239145,0.919759
4,Anger,6,,,,,
4,Neutral,6,0.1351,-0.9218,0.8345,0.7986,0.952632
4,positive,6,0.7591,-0.1567,0.9995,0.08007,0.667249
4,negative,6,-0.245,-0.9764,0.5796,0.639821,0.919759
4,non_neutral,6,-0.1351,-0.8345,0.9218,0.7986,0.952632
4,blinks_short,4,0.3443,-1.0,1.0,0.655692,0.919759
4,blinks_medium,4,-0.5284,-1.0,1.0,0.471582,0.919759
4,blinks_long,4,-0.0301,-1.0,1.0,0.969867,0.970696
4,fixations_short_low_dispersion,6,0.8808,0.2087,1.0,0.020453,0.511335
4,fixations_short_high_dispersion,6,0.3119,-0.7508,0.9471,0.547326,0.919759
4,fixations_medium_low_dispersion,6,0.0232,-0.9215,0.9094,0.96527,0.970696
4,fixations_medium_high_dispersion,6,-0.367,-0.9913,0.9261,0.474182,0.919759
4,fixations_long_low_dispersion,6,0.3603,-0.9247,0.9269,0.482884,0.919759
4,fixations_long_high_dispersion,6,-0.5429,-0.9958,0.6776,0.265635,0.919759
4,pupil_diameter_small,6,-0.4169,-1.0,0.4034,0.410936,0.919759
4,pupil_diameter_medium,6,-0.031,-0.9217,0.8994,0.953493,0.970696
4,pupil_diameter_large,6,0.3498,-0.7142,0.977,0.496687,0.919759
4,diff_ecg_heart_rate,6,0.6139,-0.1265,0.9965,0.194807,0.919759
4,diff_ecg_sdnn,6,-0.2292,-0.9714,0.9052,0.662227,0.919759
4,diff_ecg_rmssd,6,0.3215,-0.9027,0.9127,0.534305,0.919759
4,diff_ecg_pnn50,6,-0.0195,-0.9836,0.9405,0.970696,0.970696
