participant,feature,n_obs,pearson_r,ci_95_low,ci_95_high,p_value_raw,p_value_fdr
1,emotion_diversity,6,0.112,-0.6325,0.6757,0.832734,0.957482
1,non_neutral_percent,6,0.6661,0.2163,0.9955,0.148635,0.957482
1,positive_percent,6,0.0796,-0.8098,0.9992,0.880884,0.957482
1,negative_percent,6,0.4747,-0.9731,0.9924,0.341411,0.957482
1,neutral_percent,6,-0.6661,-0.9955,-0.2163,0.148635,0.957482
1,happy_percent,6,,,,,
1,sad_percent,6,0.0335,-0.8681,0.9743,0.949779,0.989353
1,surprise_percent,6,0.0796,-0.8098,0.9992,0.880884,0.957482
1,fear_percent,6,0.5102,-0.8767,0.9645,0.301117,0.957482
1,disgust_percent,6,-0.2622,-0.788,0.9903,0.615744,0.957482
1,angry_percent,6,,,,,
1,short_blink_percent,6,-0.6395,-0.979,0.1335,0.171552,0.957482
1,medium_blink_percent,6,0.6031,-0.5444,0.9876,0.205017,0.957482
1,long_blink_percent,6,-0.2635,-0.9214,0.9565,0.613828,0.957482
1,short_fixation_low_disp_percent,6,-0.0812,-0.9001,0.7682,0.878519,0.957482
1,short_fixation_high_disp_percent,6,0.0812,-0.7682,0.9001,0.878519,0.957482
1,medium_fixation_low_disp_percent,6,0.1025,-0.9782,0.9182,0.846756,0.957482
1,medium_fixation_high_disp_percent,6,-0.1025,-0.9182,0.9782,0.846756,0.957482
1,long_fixation_low_disp_percent,6,-0.1254,-0.9548,0.7725,0.812934,0.957482
1,long_fixation_high_disp_percent,6,0.1254,-0.7725,0.9548,0.812934,0.957482
1,small_pupil_percent,6,0.1103,-0.9974,0.8007,0.835164,0.957482
1,medium_pupil_percent,6,-0.1023,-0.8119,0.9974,0.847146,0.957482
1,large_pupil_percent,6,-0.1326,-0.6082,0.9547,0.802267,0.957482
1,ecg_heart_rate,6,-0.3045,-0.999,0.4097,0.557355,0.957482
1,ecg_sdnn,6,0.006,-0.585,0.9999,0.990937,0.990937
1,ecg_rmssd,6,0.2725,-0.6195,0.8804,0.601351,0.957482
1,ecg_pnn50,6,0.4528,0.2658,0.8811,0.367275,0.957482
