feature,missing_before,missing_after,imputed
emotion_diversity,2,0,2
non_neutral_percent,2,0,2
positive_percent,2,0,2
negative_percent,2,0,2
neutral_percent,2,0,2
happy_percent,2,0,2
sad_percent,2,0,2
surprise_percent,2,0,2
fear_percent,2,0,2
disgust_percent,2,0,2
angry_percent,2,0,2
short_blink_percent,2,0,2
medium_blink_percent,2,0,2
long_blink_percent,2,0,2
short_fixation_low_disp_percent,2,0,2
short_fixation_high_disp_percent,2,0,2
medium_fixation_low_disp_percent,2,0,2
medium_fixation_high_disp_percent,2,0,2
long_fixation_low_disp_percent,2,0,2
long_fixation_high_disp_percent,2,0,2
small_pupil_percent,2,0,2
medium_pupil_percent,2,0,2
large_pupil_percent,2,0,2
ecg_heart_rate,6,6,0
ecg_sdnn,6,6,0
ecg_rmssd,6,6,0
ecg_pnn50,6,6,0
