participant,modality,total_videos,missing_videos,missing_rate_pct,reasons
1,emotions,6,0,0.0,none
1,blinks,6,0,0.0,none
1,fixations,6,0,0.0,none
1,pupil,6,0,0.0,none
1,ecg,6,0,0.0,none
2,emotions,6,0,0.0,none
2,blinks,6,0,0.0,none
2,fixations,6,0,0.0,none
2,pupil,6,0,0.0,none
2,ecg,6,0,0.0,none
3,emotions,6,0,0.0,none
3,blinks,6,0,0.0,none
3,fixations,6,0,0.0,none
3,pupil,6,0,0.0,none
3,ecg,6,0,0.0,none
4,emotions,6,0,0.0,none
4,blinks,6,0,0.0,none
4,fixations,6,0,0.0,none
4,pupil,6,0,0.0,none
4,ecg,6,0,0.0,none
5,emotions,6,0,0.0,none
5,blinks,6,0,0.0,none
5,fixations,6,0,0.0,none
5,pupil,6,0,0.0,none
5,ecg,6,0,0.0,none
6,emotions,6,0,0.0,none
6,blinks,6,0,0.0,none
6,fixations,6,0,0.0,none
6,pupil,6,0,0.0,none
6,ecg,6,0,0.0,none
