feature,n_obs,n_participants,coef,ci_low,ci_high,p_value,p_value_fdr
emotion_diversity,40,7,0.13149,-0.393699,0.656678,0.623632,0.772116
non_neutral_percent,40,7,0.015987,-0.019606,0.051581,0.378676,0.757352
positive_percent,40,7,-0.013817,-0.035732,0.008098,0.216564,0.705464
negative_percent,40,7,0.027599,0.011591,0.043607,0.000727,0.014456
neutral_percent,40,7,-0.015987,-0.051581,0.019606,0.378676,0.757352
happy_percent,40,7,-2.582853,-13.880403,8.714696,0.654089,0.773014
sad_percent,40,7,0.079291,0.008576,0.150006,0.027973,0.242433
surprise_percent,40,7,-0.013796,-0.035701,0.00811,0.217066,0.705464
fear_percent,40,7,0.022909,-0.001433,0.04725,0.065097,0.42313
disgust_percent,40,7,0.000105,-0.138791,0.139001,0.998818,0.998818
angry_percent,40,7,,,,,
short_blink_percent,40,7,-0.011389,-0.054753,0.031976,0.606732,0.772116
medium_blink_percent,40,7,-0.00208,-0.027988,0.023829,0.874984,0.909983
long_blink_percent,40,7,0.007164,-0.020783,0.035112,0.615362,0.772116
short_fixation_low_disp_percent,40,7,0.037954,-0.111068,0.186976,0.617655,0.772116
short_fixation_high_disp_percent,40,7,-0.037954,-0.186976,0.111068,0.617655,0.772116
medium_fixation_low_disp_percent,40,7,0.061743,-0.114095,0.237581,0.491318,0.772116
medium_fixation_high_disp_percent,40,7,-0.061743,-0.237581,0.114095,0.491318,0.772116
long_fixation_low_disp_percent,40,7,-0.014659,-0.107619,0.078301,0.757265,0.82037
long_fixation_high_disp_percent,40,7,0.014659,-0.078301,0.107619,0.757265,0.82037
small_pupil_percent,40,7,0.009069,-0.014245,0.032382,0.445819,0.772116
medium_pupil_percent,40,7,-0.015454,-0.039365,0.008457,0.205253,0.705464
large_pupil_percent,40,7,0.043327,-0.022451,0.109105,0.196707,0.705464
ecg_heart_rate,36,6,-0.050948,-0.150338,0.048441,0.315038,0.757352
ecg_sdnn,36,6,0.037452,0.01494,0.059964,0.001112,0.014456
ecg_rmssd,36,6,0.104698,-0.108669,0.318064,0.33618,0.757352
ecg_pnn50,36,6,0.10851,-0.097292,0.314312,0.301417,0.757352
