feature,n_obs,n_participants,coef,ci_low,ci_high,p_value,p_value_fdr
emotion_diversity,42,7,0.133015,-0.38594,0.651971,0.615411,0.761937
non_neutral_percent,42,7,0.015135,-0.019104,0.049373,0.386286,0.761937
positive_percent,42,7,-0.01365,-0.035283,0.007983,0.216184,0.704246
negative_percent,42,7,0.027827,0.012159,0.043494,0.000499,0.012974
neutral_percent,42,7,-0.015135,-0.049373,0.019104,0.386286,0.761937
happy_percent,42,7,-2.587803,-13.745238,8.569631,0.649408,0.767482
sad_percent,42,7,0.080073,0.010432,0.149713,0.024223,0.157449
surprise_percent,42,7,-0.013629,-0.035253,0.007994,0.216691,0.704246
fear_percent,42,7,0.025697,0.005293,0.0461,0.013569,0.117598
disgust_percent,42,7,-0.002019,-0.138299,0.13426,0.976829,0.976829
angry_percent,42,7,,,,,
short_blink_percent,42,7,-0.011472,-0.054994,0.03205,0.605414,0.761937
medium_blink_percent,42,7,-0.002515,-0.028082,0.023052,0.84711,0.880994
long_blink_percent,42,7,0.007559,-0.020101,0.035219,0.592232,0.761937
short_fixation_low_disp_percent,42,7,0.038685,-0.107993,0.185363,0.605206,0.761937
short_fixation_high_disp_percent,42,7,-0.038685,-0.185363,0.107993,0.605206,0.761937
medium_fixation_low_disp_percent,42,7,0.063168,-0.110045,0.23638,0.474756,0.761937
medium_fixation_high_disp_percent,42,7,-0.063168,-0.23638,0.110045,0.474756,0.761937
long_fixation_low_disp_percent,42,7,-0.013615,-0.105005,0.077774,0.770289,0.83448
long_fixation_high_disp_percent,42,7,0.013615,-0.077774,0.105005,0.770289,0.83448
small_pupil_percent,42,7,0.009204,-0.013824,0.032233,0.433407,0.761937
medium_pupil_percent,42,7,-0.015567,-0.039196,0.008061,0.196602,0.704246
large_pupil_percent,42,7,0.042928,-0.022085,0.10794,0.195608,0.704246
ecg_heart_rate,36,6,-0.050948,-0.150338,0.048441,0.315038,0.761937
ecg_sdnn,36,6,0.037452,0.01494,0.059964,0.001112,0.014456
ecg_rmssd,36,6,0.104698,-0.108669,0.318064,0.33618,0.761937
ecg_pnn50,36,6,0.10851,-0.097292,0.314312,0.301417,0.761937
