feature,n_obs_raw,n_participants_raw,coef_raw,ci_low_raw,ci_high_raw,p_value_raw,p_value_fdr_raw,n_obs_imputed,n_participants_imputed,coef_imputed,ci_low_imputed,ci_high_imputed,p_value_imputed,p_value_fdr_imputed,direction_changed,coef_diff
emotion_diversity,40,7,0.13149,-0.393699,0.656678,0.623632,0.772116,42,7,0.133015,-0.38594,0.651971,0.615411,0.761937,False,0.001525
non_neutral_percent,40,7,0.015987,-0.019606,0.051581,0.378676,0.757352,42,7,0.015135,-0.019104,0.049373,0.386286,0.761937,False,-0.000852
positive_percent,40,7,-0.013817,-0.035732,0.008098,0.216564,0.705464,42,7,-0.01365,-0.035283,0.007983,0.216184,0.704246,False,0.000167
negative_percent,40,7,0.027599,0.011591,0.043607,0.000727,0.014456,42,7,0.027827,0.012159,0.043494,0.000499,0.012974,False,0.000228
neutral_percent,40,7,-0.015987,-0.051581,0.019606,0.378676,0.757352,42,7,-0.015135,-0.049373,0.019104,0.386286,0.761937,False,0.000852
happy_percent,40,7,-2.582853,-13.880403,8.714696,0.654089,0.773014,42,7,-2.587803,-13.745238,8.569631,0.649408,0.767482,False,-0.00495
sad_percent,40,7,0.079291,0.008576,0.150006,0.027973,0.242433,42,7,0.080073,0.010432,0.149713,0.024223,0.157449,False,0.000782
surprise_percent,40,7,-0.013796,-0.035701,0.00811,0.217066,0.705464,42,7,-0.013629,-0.035253,0.007994,0.216691,0.704246,False,0.000167
fear_percent,40,7,0.022909,-0.001433,0.04725,0.065097,0.42313,42,7,0.025697,0.005293,0.0461,0.013569,0.117598,False,0.002788
disgust_percent,40,7,0.000105,-0.138791,0.139001,0.998818,0.998818,42,7,-0.002019,-0.138299,0.13426,0.976829,0.976829,True,-0.002124
angry_percent,40,7,,,,,,42,7,,,,,,False,0.0
short_blink_percent,40,7,-0.011389,-0.054753,0.031976,0.606732,0.772116,42,7,-0.011472,-0.054994,0.03205,0.605414,0.761937,False,-8.3e-05
medium_blink_percent,40,7,-0.00208,-0.027988,0.023829,0.874984,0.909983,42,7,-0.002515,-0.028082,0.023052,0.84711,0.880994,False,-0.000435
long_blink_percent,40,7,0.007164,-0.020783,0.035112,0.615362,0.772116,42,7,0.007559,-0.020101,0.035219,0.592232,0.761937,False,0.000395
short_fixation_low_disp_percent,40,7,0.037954,-0.111068,0.186976,0.617655,0.772116,42,7,0.038685,-0.107993,0.185363,0.605206,0.761937,False,0.000731
short_fixation_high_disp_percent,40,7,-0.037954,-0.186976,0.111068,0.617655,0.772116,42,7,-0.038685,-0.185363,0.107993,0.605206,0.761937,False,-0.000731
medium_fixation_low_disp_percent,40,7,0.061743,-0.114095,0.237581,0.491318,0.772116,42,7,0.063168,-0.110045,0.23638,0.474756,0.761937,False,0.001425
medium_fixation_high_disp_percent,40,7,-0.061743,-0.237581,0.114095,0.491318,0.772116,42,7,-0.063168,-0.23638,0.110045,0.474756,0.761937,False,-0.001425
long_fixation_low_disp_percent,40,7,-0.014659,-0.107619,0.078301,0.757265,0.82037,42,7,-0.013615,-0.105005,0.077774,0.770289,0.83448,False,0.001044
long_fixation_high_disp_percent,40,7,0.014659,-0.078301,0.107619,0.757265,0.82037,42,7,0.013615,-0.077774,0.105005,0.770289,0.83448,False,-0.001044
small_pupil_percent,40,7,0.009069,-0.014245,0.032382,0.445819,0.772116,42,7,0.009204,-0.013824,0.032233,0.433407,0.761937,False,0.000135
medium_pupil_percent,40,7,-0.015454,-0.039365,0.008457,0.205253,0.705464,42,7,-0.015567,-0.039196,0.008061,0.196602,0.704246,False,-0.000113
large_pupil_percent,40,7,0.043327,-0.022451,0.109105,0.196707,0.705464,42,7,0.042928,-0.022085,0.10794,0.195608,0.704246,False,-0.000399
ecg_heart_rate,36,6,-0.050948,-0.150338,0.048441,0.315038,0.757352,36,6,-0.050948,-0.150338,0.048441,0.315038,0.761937,False,0.0
ecg_sdnn,36,6,0.037452,0.01494,0.059964,0.001112,0.014456,36,6,0.037452,0.01494,0.059964,0.001112,0.014456,False,0.0
ecg_rmssd,36,6,0.104698,-0.108669,0.318064,0.33618,0.757352,36,6,0.104698,-0.108669,0.318064,0.33618,0.761937,False,0.0
ecg_pnn50,36,6,0.10851,-0.097292,0.314312,0.301417,0.757352,36,6,0.10851,-0.097292,0.314312,0.301417,0.761937,False,0.0
